idade_solicitante,salario_solicitante,situacao_propriedade,tempo_trabalhado,motivo,pontuacao,valor_solicitado,taxa_juros,percentual_renda,flag_inadimplencia,anos_primeira_solicitacao,flag_inadimplencia_hist
"22,0","30000,0",Própria,"6,0",Educativo,A,"2500,0","7,29","0,08","0,0",3,0
"32,0","131000,0",Hipotecada,"2,0",Pagamento de débitos,B,"11200,0","10,25","0,09","0,0",5,0
"21,0","71688,0",Hipotecada,"2,0",Educativo,D,"7500,0","13,17","0,1","0,0",4,1
"35,0","58788,0",Hipotecada,"8,0",Pagamento de débitos,B,"2200,0","11,99","0,04","0,0",6,0
"29,0","60000,0",Própria,"1,0",Pessoal,B,"10000,0","10,99","0,17","0,0",10,0
"31,0","80000,0",Hipotecada,"5,0",Empreendimento,A,"6000,0","7,4","0,07","0,0",9,0
"47,0","54996,0",Hipotecada,"7,0",Médico,B,"9000,0","10,38","0,16","0,0",16,0
"23,0","75000,0",Alugada,"3,0",Empreendimento,A,"2000,0","5,79","0,03","0,0",3,0
"23,0","80004,0",Hipotecada,"2,0",Empreendimento,B,"19000,0","10,62","0,24","0,0",2,0
"23,0","30000,0",Alugada,"6,0",Empreendimento,B,"19750,0","11,14","0,66","1,0",4,0
"34,0","67000,0",Alugada,"7,0",Educativo,B,"20000,0","11,71","0,3","0,0",9,0
"37,0","50000,0",Alugada,"0,0",Empreendimento,B,"5000,0","11,89","0,1","0,0",12,0
"27,0","41000,0",Alugada,"3,0",Pagamento de débitos,C,"7000,0","12,73","0,17","0,0",5,1
"28,0","60000,0",Alugada,"3,0",Médico,C,"25000,0","13,49","0,42","1,0",10,0
"24,0","53295,0",Alugada,"3,0",Médico,D,"19600,0","16,07","0,31","1,0",3,0
"26,0","55000,0",Hipotecada,"10,0",Empreendimento,C,"2800,0","13,49","0,05","0,0",2,0
"23,0","69996,0",Hipotecada,"7,0",Empreendimento,A,"3000,0","6,39","0,04","0,0",4,0
"27,0","46000,0",Alugada,"11,0",Médico,B,"8000,0","11,36","0,17","0,0",8,0
"27,0","48100,0",Hipotecada,"1,0",Empreendimento,B,"20000,0","11,89","0,42","0,0",10,0
"31,0","10000,0",Alugada,"15,0",Pagamento de débitos,A,"2650,0","7,4","0,27","1,0",9,0
"43,0","60000,0",Hipotecada,"27,0",Melhora do lar,B,"10000,0","9,88","0,17","0,0",16,0
"25,0","36400,0",Alugada,"2,0",Pessoal,B,"18200,0","9,91","0,5","1,0",4,0
"25,0","45600,0",Alugada,"3,0",Médico,D,"12250,0","14,84","0,27","1,0",3,0
"25,0","27048,0",Outros,"9,0",Médico,D,"8000,0","15,05","0,3","1,0",2,1
"33,0","124000,0",Própria,"10,0",Pessoal,D,"23500,0","14,96","0,19","0,0",6,1
"25,0","150000,0",Hipotecada,"9,0",Médico,C,"20000,0","14,65","0,13","0,0",4,1
"24,0","33000,0",Hipotecada,"3,0",Pessoal,E,"1250,0","19,29","0,04","0,0",4,0
"32,0","22000,0",Alugada,"9,0",Médico,E,"10000,0","18,39","0,45","1,0",6,1
"26,0","125000,0",Alugada,"10,0",Médico,B,"3000,0","12,21","0,02","0,0",4,0
"22,0","75000,0",Alugada,"2,0",Empreendimento,B,"5000,0","10,99","0,07","0,0",2,0
"24,0","60000,0",Hipotecada,"7,0",Empreendimento,B,"15850,0","11,11","0,26","0,0",3,0
"23,0","114000,0",Hipotecada,"1,0",Educativo,B,"17325,0","11,99","0,15","0,0",2,0
"25,0","115000,0",Hipotecada,"4,0",Empreendimento,C,"25000,0","12,53","0,22","0,0",4,1
"25,0","54000,0",Alugada,"5,0",Pessoal,B,"5000,0","12,21","0,09","0,0",4,0
"41,0","66000,0",Hipotecada,"20,0",Empreendimento,A,"10000,0","6,62","0,15","0,0",12,0
"32,0","86800,0",Hipotecada,"6,0",Melhora do lar,A,"2800,0","7,88","0,03","0,0",9,0
"30,0","98000,0",Hipotecada,"8,0",Empreendimento,A,"3500,0","7,68","0,04","0,0",10,0
"23,0","70550,0",Alugada,"3,0",Médico,F,"25000,0","19,04","0,3","1,0",4,1
"22,0","57500,0",Alugada,"1,0",Pagamento de débitos,B,"9100,0","11,49","0,16","0,0",4,0
"23,0","57000,0",Própria,"7,0",Educativo,B,"4200,0","10,51","0,07","0,0",4,0
"24,0","40000,0",Alugada,"3,0",Pagamento de débitos,A,"4000,0","5,42","0,1","0,0",2,0
"25,0","34000,0",Hipotecada,"2,0",Melhora do lar,C,"5800,0","13,48","0,17","1,0",3,1
"51,0","76960,0",Hipotecada,"0,0",Pessoal,B,"15000,0","9,99","0,19","0,0",20,0
"34,0","103000,0",Hipotecada,"5,0",Empreendimento,A,"3525,0","5,42","0,03","0,0",8,0
"26,0","70000,0",Alugada,"2,0",Pagamento de débitos,B,"10000,0","9,45","0,14","0,0",3,0
"24,0","40000,0",Alugada,"8,0",Médico,B,"2800,0","10,25","0,07","0,0",2,0
"21,0","12000,0",Alugada,"3,0",Educativo,B,"1600,0","10,59","0,13","1,0",2,0
"22,0","62000,0",Hipotecada,"2,0",Educativo,A,"10000,0","5,99","0,16","0,0",4,0
"26,0","107900,0",Hipotecada,"10,0",Médico,A,"16500,0","8,94","0,15","0,0",3,0
"28,0","56052,0",Alugada,"8,0",Empreendimento,C,"7200,0","11,28","0,13","0,0",8,1
"25,0","75000,0",Hipotecada,"8,0",Pagamento de débitos,A,"15000,0","9,63","0,2","0,0",3,0
"22,0","45000,0",Hipotecada,"2,0",Educativo,D,"8000,0","16,49","0,18","0,0",4,1
"28,0","108000,0",Hipotecada,"6,0",Pessoal,B,"27400,0","10,99","0,25","0,0",8,0
"52,0","52000,0",Hipotecada,"1,0",Médico,A,"17000,0","7,88","0,33","1,0",18,0
"25,0","51684,0",Hipotecada,"9,0",Pessoal,D,"4000,0","15,99","0,08","0,0",4,0
"22,0","27996,0",Hipotecada,"4,0",Médico,D,"3250,0","15,21","0,12","1,0",2,0
"33,0","40000,0",Alugada,"15,0",Educativo,B,"15000,0","9,88","0,38","1,0",9,0
"24,0","46000,0",Alugada,"0,0",Educativo,D,"5975,0","14,46","0,13","1,0",2,1
"24,0","48000,0",Hipotecada,"7,0",Médico,A,"12000,0","7,29","0,25","0,0",3,0
"25,0","42000,0",Alugada,"4,0",Educativo,A,"1925,0","6,17","0,05","0,0",4,0
"21,0","34500,0",Alugada,"2,0",Melhora do lar,D,"11500,0","15,31","0,33","1,0",2,0
"25,0","46116,0",Hipotecada,"9,0",Pagamento de débitos,C,"10000,0","11,03","0,22","0,0",3,0
"37,0","65000,0",Alugada,"7,0",Melhora do lar,C,"12000,0","13,98","0,18","0,0",12,0
"23,0","47000,0",Alugada,"3,0",Empreendimento,B,"15000,0","11,48","0,32","1,0",4,0
"33,0","115000,0",Hipotecada,"10,0",Médico,B,"25000,0","11,86","0,22","0,0",8,0
"23,0","75000,0",Hipotecada,"5,0",Empreendimento,A,"6400,0","5,42","0,09","0,0",3,0
"29,0","75000,0",Alugada,"0,0",Pessoal,C,"17200,0","14,27","0,23","0,0",8,1
"25,0","70000,0",Alugada,"4,0",Pessoal,C,"8000,0","15,96","0,11","0,0",3,1
"48,0","185000,0",Hipotecada,"2,0",Empreendimento,F,"10000,0","20,62","0,05","0,0",14,0
"34,0","90000,0",Alugada,"0,0",Educativo,B,"13200,0","10,74","0,15","0,0",5,0
"24,0","135000,0",Alugada,"6,0",Médico,B,"14400,0","12,69","0,11","0,0",4,0
"27,0","180000,0",Hipotecada,"2,0",Médico,C,"8000,0","13,23","0,04","0,0",7,1
"26,0","65000,0",Hipotecada,"6,0",Empreendimento,E,"22000,0","17,19","0,34","0,0",2,0
"25,0","109000,0",Hipotecada,"9,0",Empreendimento,A,"12000,0","7,51","0,11","0,0",4,0
"34,0","45000,0",Alugada,"7,0",Médico,A,"1500,0","5,99","0,03","0,0",10,0
"27,0","48000,0",Alugada,"2,0",Pessoal,C,"25000,0","10,59","0,52","1,0",7,0
"24,0","30000,0",Alugada,"8,0",Médico,B,"8000,0","9,25","0,27","0,0",2,0
"32,0","45000,0",Hipotecada,"7,0",Educativo,A,"4000,0","7,49","0,09","0,0",5,0
"25,0","39900,0",Alugada,"8,0",Educativo,B,"12000,0","9,88","0,3","0,0",4,0
"30,0","35000,0",Alugada,"5,0",Médico,B,"10000,0","12,21","0,29","0,0",6,0
"38,0","64800,0",Alugada,"15,0",Pessoal,B,"7500,0","9,63","0,12","0,0",11,0
"24,0","68000,0",Alugada,"0,0",Empreendimento,A,"10000,0","6,99","0,15","0,0",3,0
"23,0","160000,0",Hipotecada,"5,0",Empreendimento,A,"35000,0","7,66","0,22","0,0",3,0
"22,0","46500,0",Hipotecada,"1,0",Educativo,B,"4000,0","10,62","0,09","0,0",3,0
"38,0","50000,0",Hipotecada,"6,0",Pessoal,D,"3000,0","15,05","0,06","0,0",12,0
"31,0","35000,0",Hipotecada,"2,0",Pagamento de débitos,B,"10225,0","9,99","0,29","0,0",6,0
"21,0","80000,0",Hipotecada,"5,0",Educativo,A,"12000,0","5,99","0,15","0,0",2,0
"54,0","79864,0",Hipotecada,"5,0",Pessoal,B,"1800,0","9,88","0,02","0,0",21,0
"30,0","70000,0",Hipotecada,"4,0",Médico,B,"10200,0","12,42","0,15","0,0",6,0
"25,0","78996,0",Alugada,"9,0",Educativo,A,"4500,0","8,63","0,06","0,0",2,0
"24,0","35004,0",Alugada,"0,0",Pessoal,C,"10000,0","12,84","0,29","0,0",4,1
"24,0","61000,0",Hipotecada,"7,0",Pessoal,D,"3000,0","15,62","0,05","0,0",3,0
"46,0","60000,0",Alugada,"12,0",Pagamento de débitos,B,"11000,0","9,91","0,18","0,0",13,0
"25,0","80000,0",Hipotecada,"4,0",Pessoal,A,"11000,0","6,62","0,14","0,0",3,0
"40,0","35000,0",Hipotecada,"6,0",Empreendimento,B,"5600,0","10,65","0,16","0,0",13,0
"22,0","23400,0",Alugada,"2,0",Médico,A,"8000,0","8,59","0,34","1,0",2,0
"30,0","66000,0",Hipotecada,"14,0",Educativo,C,"11200,0","13,49","0,17","1,0",9,0
"25,0","80000,0",Hipotecada,"9,0",Empreendimento,A,"12000,0","7,88","0,15","0,0",3,0
"43,0","49578,0",Hipotecada,"11,0",Pessoal,C,"16000,0","13,49","0,32","0,0",13,1
"21,0","33000,0",Própria,"2,0",Educativo,C,"11000,0","13,11","0,33","0,0",3,1
"33,0","26400,0",Alugada,"3,0",Médico,B,"1000,0","10,99","0,04","0,0",7,0
"23,0","55000,0",Alugada,"2,0",Médico,B,"10800,0","8,88","0,2","0,0",2,0
"23,0","11000,0",Própria,"0,0",Pessoal,A,"1400,0","9,32","0,13","0,0",3,0
"24,0","105000,0",Alugada,"2,0",Melhora do lar,A,"13800,0","7,66","0,13","0,0",3,0
"40,0","75000,0",Hipotecada,"6,0",Educativo,C,"7500,0","12,23","0,1","0,0",16,1
"26,0","80952,0",Alugada,"6,0",Educativo,D,"13200,0","16,77","0,16","0,0",4,0
"29,0","72000,0",Alugada,"3,0",Médico,B,"9500,0","11,26","0,13","0,0",7,0
"22,0","119000,0",Alugada,"2,0",Pagamento de débitos,B,"12000,0","10,36","0,1","0,0",2,0
"25,0","72000,0",Hipotecada,"6,0",Pessoal,B,"5000,0","12,18","0,07","0,0",3,0
"24,0","37000,0",Hipotecada,"8,0",Médico,B,"10000,0","10,99","0,27","0,0",3,0
"22,0","40000,0",Alugada,"1,0",Pessoal,C,"8500,0","14,35","0,21","0,0",2,1
"30,0","54383,0",Alugada,"5,0",Melhora do lar,D,"25000,0","15,65","0,46","1,0",7,1
"26,0","55000,0",Alugada,"10,0",Educativo,E,"9000,0","16,7","0,16","0,0",3,0
"29,0","80000,0",Alugada,"13,0",Médico,C,"15000,0","13,72","0,19","0,0",5,1
"30,0","51000,0",Hipotecada,"6,0",Melhora do lar,A,"6600,0","6,92","0,13","0,0",9,0
"22,0","30000,0",Hipotecada,"1,0",Pessoal,B,"5500,0","10,99","0,18","0,0",3,0
"25,0","57500,0",Alugada,"4,0",Educativo,C,"6000,0","11,28","0,1","1,0",3,0
"21,0","42000,0",Própria,"5,0",Educativo,D,"5000,0","17,49","0,12","0,0",2,0
"46,0","60350,0",Alugada,"3,0",Pessoal,A,"10000,0","8,94","0,17","0,0",17,0
"25,0","15600,0",Alugada,"6,0",Médico,B,"5000,0","10,75","0,32","1,0",3,0
"34,0","47125,0",Hipotecada,"12,0",Empreendimento,B,"3200,0","10,99","0,07","0,0",8,0
"38,0","24000,0",Hipotecada,"6,0",Pagamento de débitos,A,"1500,0","6,03","0,06","0,0",16,0
"22,0","78000,0",Hipotecada,"6,0",Educativo,E,"16000,0","16,45","0,21","0,0",2,1
"30,0","90722,0",Hipotecada,"6,0",Empreendimento,A,"10000,0","6,91","0,11","0,0",8,0
"29,0","35000,0",Alugada,"6,0",Educativo,C,"4000,0","15,23","0,11","0,0",9,1
"27,0","58000,0",Hipotecada,"9,0",Pagamento de débitos,C,"6500,0","13,98","0,11","0,0",8,1
"23,0","86670,0",Hipotecada,"4,0",Pessoal,B,"20000,0","12,53","0,23","0,0",2,0
"33,0","115000,0",Hipotecada,"3,0",Pessoal,A,"14000,0","6,03","0,12","0,0",8,0
"25,0","120000,0",Hipotecada,"9,0",Melhora do lar,B,"20000,0","11,14","0,17","0,0",4,0
"25,0","50000,0",Alugada,"5,0",Empreendimento,B,"4800,0","10,99","0,1","0,0",4,0
"23,0","72000,0",Alugada,"4,0",Médico,C,"10000,0","13,85","0,14","0,0",3,1
"29,0","60000,0",Própria,"13,0",Médico,C,"9600,0","14,35","0,16","0,0",6,1
"27,0","42000,0",Alugada,"2,0",Médico,A,"6550,0","7,88","0,16","0,0",8,0
"23,0","120000,0",Hipotecada,"7,0",Médico,A,"8500,0","5,42","0,07","0,0",4,0
"32,0","81204,0",Hipotecada,"6,0",Educativo,A,"3600,0","7,88","0,04","0,0",9,0
"29,0","87000,0",Hipotecada,"6,0",Empreendimento,A,"4800,0","8,94","0,06","0,0",5,0
"31,0","121000,0",Hipotecada,"15,0",Pagamento de débitos,C,"25000,0","12,73","0,21","0,0",9,1
"28,0","29000,0",Alugada,"1,0",Médico,C,"8000,0","13,11","0,28","1,0",9,1
"27,0","60000,0",Alugada,"8,0",Médico,A,"7000,0","6,99","0,12","0,0",8,0
"37,0","45000,0",Alugada,"2,0",Melhora do lar,B,"20000,0","12,53","0,44","1,0",14,0
"24,0","140300,0",Hipotecada,"6,0",Pagamento de débitos,B,"6000,0","11,14","0,04","0,0",3,0
"28,0","55000,0",Alugada,"1,0",Médico,A,"10000,0","9,32","0,18","0,0",8,0
"34,0","103000,0",Hipotecada,"5,0",Empreendimento,B,"16000,0","10,62","0,16","0,0",7,0
"27,0","41000,0",Alugada,"11,0",Pagamento de débitos,D,"11000,0","15,33","0,27","1,0",7,1
"62,0","62050,0",Hipotecada,"29,0",Médico,C,"25000,0","13,43","0,34","1,0",28,1
"22,0","40000,0",Hipotecada,"1,0",Pessoal,E,"8000,0","16,0","0,2","0,0",3,1
"33,0","96053,0",Alugada,"3,0",Médico,E,"12000,0","15,68","0,11","1,0",6,0
"29,0","30000,0",Alugada,"8,0",Médico,C,"7000,0","13,35","0,23","0,0",10,1
"23,0","65000,0",Alugada,"0,0",Empreendimento,B,"7000,0","10,71","0,11","0,0",2,0
"31,0","60000,0",Alugada,"11,0",Educativo,B,"15000,0","11,71","0,25","0,0",7,0
"25,0","42000,0",Alugada,"1,0",Empreendimento,A,"8000,0","5,99","0,19","0,0",2,0
"38,0","35000,0",Alugada,"0,0",Pagamento de débitos,B,"5600,0","11,11","0,16","0,0",17,0
"23,0","35000,0",Alugada,"5,0",Pagamento de débitos,A,"7000,0","6,03","0,2","0,0",2,0
"40,0","61500,0",Alugada,"3,0",Pessoal,B,"8000,0","11,48","0,13","0,0",17,0
"29,0","130000,0",Hipotecada,"13,0",Empreendimento,A,"17500,0","8,94","0,13","0,0",9,0
"27,0","66240,0",Alugada,"7,0",Médico,A,"5000,0","5,79","0,08","0,0",9,0
"22,0","52000,0",Alugada,"0,0",Empreendimento,D,"8000,0","15,58","0,15","1,0",3,0
"24,0","100000,0",Alugada,"0,0",Melhora do lar,B,"3000,0","9,76","0,03","0,0",3,0
"27,0","129900,0",Hipotecada,"11,0",Médico,B,"3100,0","11,11","0,02","0,0",8,0
"23,0","122000,0",Alugada,"7,0",Pagamento de débitos,C,"14000,0","13,48","0,11","0,0",2,1
"32,0","119000,0",Hipotecada,"10,0",Médico,C,"9000,0","13,47","0,08","0,0",7,0
"28,0","54590,0",Alugada,"3,0",Educativo,A,"5000,0","6,03","0,09","0,0",6,0
"30,0","57000,0",Hipotecada,"6,0",Pessoal,A,"4000,0","8,0","0,07","0,0",7,0
"23,0","26880,0",Alugada,"6,0",Pagamento de débitos,C,"3000,0","12,23","0,11","0,0",2,1
"31,0","42000,0",Alugada,"3,0",Médico,B,"5000,0","11,86","0,12","0,0",9,0
"25,0","27600,0",Alugada,"2,0",Empreendimento,B,"3200,0","12,21","0,12","0,0",2,0
"31,0","62400,0",Hipotecada,"8,0",Educativo,D,"8500,0","14,09","0,14","0,0",5,0
"33,0","72000,0",Alugada,"3,0",Médico,B,"12000,0","11,99","0,17","0,0",5,0
"25,0","43633,0",Hipotecada,"3,0",Pagamento de débitos,D,"9000,0","15,62","0,21","1,0",3,0
"22,0","43000,0",Alugada,"4,0",Educativo,A,"3800,0","6,99","0,09","0,0",4,0
"26,0","31200,0",Hipotecada,"6,0",Pessoal,A,"9250,0","7,9","0,3","0,0",2,0
"41,0","98000,0",Hipotecada,"18,0",Médico,B,"5000,0","10,99","0,05","0,0",17,0
"28,0","87950,0",Hipotecada,"12,0",Pessoal,B,"24000,0","10,75","0,27","0,0",7,0
"55,0","48000,0",Alugada,"1,0",Educativo,B,"5500,0","10,62","0,11","1,0",22,0
"24,0","78000,0",Hipotecada,"0,0",Pagamento de débitos,D,"19500,0","15,31","0,25","1,0",4,0
"28,0","82000,0",Alugada,"12,0",Pessoal,A,"8000,0","7,49","0,1","0,0",10,0
"29,0","420000,0",Hipotecada,"5,0",Pagamento de débitos,C,"8000,0","12,73","0,02","0,0",5,0
"36,0","15000,0",Alugada,"0,0",Pessoal,C,"5000,0","10,59","0,33","1,0",11,0
"28,0","86304,0",Hipotecada,"12,0",Pagamento de débitos,A,"6000,0","5,79","0,07","0,0",10,0
"36,0","430000,0",Alugada,"2,0",Educativo,C,"25000,0","13,8","0,06","0,0",11,0
"22,0","52500,0",Hipotecada,"3,0",Pagamento de débitos,B,"4000,0","10,65","0,08","0,0",4,0
"28,0","54000,0",Alugada,"9,0",Empreendimento,A,"6000,0","5,42","0,11","0,0",5,0
"23,0","57000,0",Alugada,"4,0",Pagamento de débitos,A,"12000,0","8,94","0,21","0,0",2,0
"29,0","44500,0",Alugada,"3,0",Empreendimento,C,"14400,0","13,61","0,32","1,0",10,1
"26,0","43000,0",Alugada,"2,0",Médico,B,"7000,0","9,99","0,16","0,0",3,0
"23,0","43200,0",Alugada,"2,0",Empreendimento,D,"9100,0","13,24","0,21","1,0",2,0
"23,0","40000,0",Alugada,"0,0",Empreendimento,C,"1500,0","11,78","0,04","0,0",2,0
"26,0","68000,0",Alugada,"4,0",Educativo,B,"10700,0","12,42","0,16","0,0",4,0
"33,0","54000,0",Alugada,"15,0",Pessoal,B,"10000,0","10,99","0,19","0,0",6,0
"25,0","65000,0",Hipotecada,"3,0",Educativo,C,"10000,0","12,99","0,15","0,0",2,0
"23,0","65000,0",Hipotecada,"3,0",Empreendimento,A,"7000,0","7,9","0,11","0,0",4,0
"24,0","52800,0",Alugada,"8,0",Pessoal,A,"9000,0","7,49","0,17","0,0",4,0
"24,0","38400,0",Alugada,"8,0",Médico,A,"4200,0","6,76","0,11","0,0",4,0
"21,0","21816,0",Hipotecada,"2,0",Pessoal,B,"1500,0","11,86","0,07","0,0",3,0
"25,0","55044,0",Alugada,"4,0",Empreendimento,E,"18250,0","17,56","0,33","1,0",2,0
"30,0","136000,0",Hipotecada,"13,0",Empreendimento,B,"2800,0","10,65","0,02","0,0",10,0
"46,0","60000,0",Hipotecada,"1,0",Educativo,C,"5000,0","11,72","0,08","0,0",16,0
"32,0","25000,0",Outros,"3,0",Pagamento de débitos,A,"11200,0","7,88","0,45","1,0",5,0
"22,0","30996,0",Alugada,"2,0",Pagamento de débitos,B,"8000,0","11,49","0,26","0,0",2,0
"26,0","44959,0",Hipotecada,"2,0",Pessoal,B,"10000,0","11,71","0,22","0,0",2,0
"33,0","51888,0",Hipotecada,"13,0",Pessoal,C,"7000,0","13,98","0,13","0,0",10,0
"29,0","142000,0",Própria,"14,0",Pessoal,B,"24250,0","11,48","0,17","0,0",8,0
"27,0","34000,0",Alugada,"4,0",Médico,G,"14000,0","19,82","0,41","1,0",10,0
"27,0","65000,0",Hipotecada,"11,0",Pessoal,A,"18000,0","7,51","0,28","0,0",8,0
"36,0","34000,0",Alugada,"5,0",Médico,C,"5500,0","12,29","0,16","0,0",17,0
"24,0","12960,0",Hipotecada,"1,0",Melhora do lar,B,"3650,0","9,91","0,28","1,0",3,0
"22,0","18000,0",Alugada,"0,0",Empreendimento,C,"3500,0","13,48","0,19","1,0",2,1
"31,0","325000,0",Hipotecada,"4,0",Médico,A,"10000,0","5,99","0,03","0,0",7,0
"21,0","8000,0",Alugada,"1,0",Pagamento de débitos,A,"2800,0","7,4","0,35","1,0",2,0
"28,0","35000,0",Hipotecada,"5,0",Pessoal,C,"9600,0","13,16","0,27","0,0",8,0
"32,0","122004,0",Hipotecada,"13,0",Médico,A,"10000,0","8,59","0,08","0,0",10,0
"33,0","30000,0",Alugada,"6,0",Pessoal,B,"7200,0","12,69","0,24","1,0",10,0
"22,0","44172,0",Alugada,"4,0",Pessoal,B,"15000,0","10,37","0,34","1,0",3,0
"34,0","30000,0",Alugada,"2,0",Melhora do lar,B,"14975,0","12,53","0,5","1,0",10,0
"22,0","47472,0",Hipotecada,"6,0",Empreendimento,B,"20000,0","11,83","0,42","0,0",3,0
"30,0","38000,0",Alugada,"0,0",Médico,A,"12800,0","5,79","0,34","1,0",8,0
"27,0","31400,0",Alugada,"1,0",Médico,B,"3500,0","11,71","0,11","0,0",8,0
"24,0","165000,0",Hipotecada,"5,0",Pessoal,B,"20000,0","10,37","0,12","0,0",4,0
"22,0","55000,0",Alugada,"0,0",Pagamento de débitos,D,"15000,0","14,83","0,27","1,0",4,1
"23,0","64000,0",Alugada,"7,0",Educativo,D,"10325,0","12,92","0,16","1,0",2,1
"29,0","40000,0",Alugada,"2,0",Pagamento de débitos,B,"6000,0","11,14","0,15","0,0",6,0
"24,0","61400,0",Alugada,"1,0",Pagamento de débitos,C,"12250,0","12,23","0,2","0,0",2,1
"29,0","51000,0",Alugada,"2,0",Médico,A,"6000,0","7,29","0,12","0,0",10,0
"24,0","9600,0",Alugada,"3,0",Educativo,C,"1300,0","12,73","0,14","1,0",2,0
"22,0","58000,0",Outros,"3,0",Empreendimento,C,"15000,0","13,79","0,26","0,0",2,1
"24,0","86000,0",Alugada,"1,0",Melhora do lar,B,"12000,0","10,65","0,14","0,0",3,0
"27,0","50000,0",Hipotecada,"0,0",Médico,A,"12000,0","6,62","0,24","0,0",9,0
"24,0","34000,0",Hipotecada,"1,0",Pessoal,C,"5100,0","14,35","0,15","0,0",4,0
"46,0","72194,0",Alugada,"8,0",Pessoal,B,"17000,0","8,88","0,24","0,0",15,0
"23,0","113000,0",Hipotecada,"6,0",Pagamento de débitos,B,"10000,0","10,38","0,09","1,0",3,0
"32,0","101000,0",Alugada,"3,0",Médico,B,"20000,0","10,75","0,2","0,0",8,0
"25,0","42000,0",Alugada,"2,0",Educativo,C,"20000,0","13,47","0,48","1,0",4,0
"23,0","29004,0",Hipotecada,"2,0",Médico,B,"6000,0","11,99","0,21","0,0",2,0
"22,0","65004,0",Hipotecada,"6,0",Médico,A,"5500,0","6,03","0,08","0,0",2,0
"22,0","117000,0",Hipotecada,"6,0",Educativo,D,"7500,0","13,24","0,06","0,0",2,0
"25,0","25000,0",Alugada,"3,0",Pessoal,D,"10000,0","14,11","0,4","1,0",2,1
"32,0","145000,0",Alugada,"2,0",Pessoal,B,"8800,0","10,59","0,06","0,0",7,0
"36,0","49000,0",Alugada,"6,0",Melhora do lar,B,"7000,0","10,74","0,14","1,0",16,0
"23,0","45204,0",Hipotecada,"0,0",Educativo,B,"4750,0","12,21","0,11","0,0",4,0
"28,0","105000,0",Hipotecada,"8,0",Empreendimento,B,"12000,0","9,63","0,11","0,0",10,0
"26,0","68004,0",Alugada,"10,0",Pagamento de débitos,D,"3500,0","15,28","0,05","1,0",3,1
"26,0","36000,0",Hipotecada,"2,0",Pessoal,B,"10000,0","10,75","0,28","0,0",2,0
"26,0","24480,0",Alugada,"0,0",Médico,A,"4375,0","5,79","0,18","0,0",4,0
"27,0","54600,0",Alugada,"2,0",Educativo,C,"1500,0","13,23","0,03","0,0",8,1
"27,0","30996,0",Alugada,"1,0",Melhora do lar,D,"2600,0","14,74","0,08","1,0",5,0
"27,0","70000,0",Própria,"0,0",Pessoal,C,"15000,0","12,84","0,21","0,0",10,0
"22,0","39000,0",Alugada,"2,0",Pessoal,A,"7000,0","8,9","0,18","1,0",3,0
"27,0","32000,0",Hipotecada,"0,0",Empreendimento,A,"9850,0","8,94","0,31","0,0",5,0
"38,0","55550,0",Hipotecada,"1,0",Melhora do lar,A,"22500,0","7,49","0,41","0,0",12,0
